Oh Hu-Seong | 오후성 | Incheon United | Midfielder | 7
Oh Jun-Yeop | 오준엽 | Incheon United | Midfielder | 55
Gerso | 제르소 | Incheon United | Midfielder | 11
Jeong Chi-In | 정치인 | Incheon United | Midfielder | 23
Lee Dong-Ryul | 이동률 | Incheon United | Midfielder | 10
Park Seung-Ho | 박승호 | Incheon United | Midfielder | 77
Lee Chung-Yong | 이청용 | Incheon United | Midfielder | 72
Kim Seong-Min | 김성민 | Incheon United | Midfielder | 17
Baek Min-Kyu | 백민규 | Incheon United | Midfielder | 14
Stefan Mugosa | 무고사 | Incheon United | Forward | 9
Morgan Ferrier | 페리어 | Incheon United | Forward | 99
Park Ho-Min | 박호민 | Incheon United | Forward | 19

Kim Dong-Jun | 김동준 | Jeju United FC | Goalkeeper | 1
An Chan-Gi | 안찬기 | Jeju United FC | Goalkeeper | 21
Heo Jae-Won | 허재원 | Jeju United FC | Goalkeeper | 29
Joo Seung-Min | 주승민 | Jeju United FC | Goalkeeper | 31
Jang Min-Gyu | 장민규 | Jeju United FC | Defender | 20
Rim Chang-Woo | 임창우 | Jeju United FC | Defender | 23
Julien Célestine | 세레스틴 | Jeju United FC | Defender | 3
Tobias Figueiredo | 토비아스 | Jeju United FC | Defender | 2
Kim Jae-Woo | 김재우 | Jeju United FC | Defender | 41
Heo Kang-Jun | 허강준 | Jeju United FC | Defender | 4
Kwon Gi-Min | 권기민 | Jeju United FC | Defender | 6
Kim Ryun-Seong | 김륜성 | Jeju United FC | Defender | 40
Jeong Woon | 정운 | Jeju United FC | Defender | 13
Jo In-Jung | 조인정 | Jeju United FC | Defender | 88
Park Min-Jae | 박민재 | Jeju United FC | Midfielder | 47
Yu In-Soo | 유인수 | Jeju United FC | Midfielder | 17
Italo Moreira | 이탈로 | Jeju United FC | Midfielder | 5
Kang Dong-Hwi | 강동휘 | Jeju United FC | Midfielder | 55
Lee Chang-Min | 이창민 | Jeju United FC | Midfielder | 8
Kim Geon-Woong | 김건웅 | Jeju United FC | Midfielder | 28
Oh Jae-Hyeok | 오재혁 | Jeju United FC | Midfielder | 14
Kim Jae-Min | 김재민 | Jeju United FC | Midfielder | 39
Nam Tae-Hee | 남태희 | Jeju United FC | Midfielder | 10
Park Chang-Jun | 박창준 | Jeju United FC | Midfielder | 7
Kim Hyeon-Wu | 김현우 | Jeju United FC | Midfielder | 19
Emerson Negueba | 네게바 | Jeju United FC | Midfielder | 94
Kim Jun-Ha | 김준하 | Jeju United FC | Midfielder | 27
Kwon Chang-Hoon | 권창훈 | Jeju United FC | Midfielder | 22
